Date, Crash-free Users, Crash-free Sessions
2017-4-27, 98.07518525212362, 98.61500054271139
2017-4-28, 97.35618370865771, 98.18373004492878
2017-4-29, 97.63601348098219, 98.21694610636838
2017-4-30, 97.64627579112967, 98.08539325842696
2017-5-1, 97.76504884160998, 98.30627732824044
2017-5-2, 97.6348297680024, 98.15086586439683
2017-5-3, 97.84325637910085, 98.475877975129
2017-5-4, 97.82117918832363, 98.70290869854679
2017-5-5, 98.03292266280154, 98.62152470544405
2017-5-6, 98.14228314819192, 98.51485148514851
2017-5-7, 98.08771929824562, 98.66004438338793
2017-5-8, 97.63706083531972, 98.28564529759748
2017-5-9, 97.86261792452831, 98.5336682215046
2017-5-10, 97.93902316718484, 98.59406432946814
2017-5-11, 97.91666666666667, 98.59107921901447
2017-5-12, 98.19575796529244, 98.73500202219925
2017-5-13, 98.03748837664563, 98.61167049681347
2017-5-14, 98.21693907875186, 98.69773817683345
2017-5-15, 97.95279270857677, 98.68579038138276
2017-5-16, 98.20809248554913, 98.7974949478781
2017-5-17, 97.95100004890215, 98.74168230677358
2017-5-18, 98.22263403950637, 98.94706614339044
2017-5-19, 98.33348893660722, 98.83828895942649
2017-5-20, 98.46423682409309, 98.98115755232308
2017-5-21, 98.52525609325326, 98.98857790565873
2017-5-22, 98.19237566271144, 98.95193990826705
2017-5-23, 98.12449401817037, 98.88296098699567
2017-5-24, 98.38957055214723, 98.98991989733612
2017-5-25, 98.40277438577638, 98.9879693434309
2017-5-26, 98.47933717288068, 99.07217193037903
2017-5-27, 98.31401475237092, 98.8620199146515
2017-5-28, 98.60386545436478, 99.07222519846101
2017-5-29, 98.41337678294781, 98.95212506106498
2017-5-30, 98.2887641685925, 99.01526341703594
2017-5-31, 98.2470567867036, 98.8781576504513
2017-6-1, 98.28610715513432, 98.90519450267878
2017-6-2, 98.32641328648994, 98.9287643281522
2017-6-3, 98.55342012812565, 99.04577269751749
2017-6-4, 98.28475545335903, 98.83672373680129
2017-6-5, 97.69076305220884, 98.18619538751949
2017-6-6, 97.6568726422613, 98.00685380234843
2017-6-7, 97.61287535104775, 98.0649853250565
2017-6-8, 97.79367620572343, 98.58961503248027
2017-6-9, 98.38952924701067, 98.88033589923023
2017-6-10, 98.45293116030163, 98.93836346832863
2017-6-11, 98.35701117015508, 99.02876631079478
2017-6-12, 98.4366576819407, 99.08583037074658
2017-6-13, 98.35477747310694, 99.02705920058605
2017-6-14, 98.34517874191152, 98.92220533370181
2017-6-15, 98.33973948323724, 98.96137462307951
2017-6-16, 98.35752053099337, 98.96048287247214
2017-6-17, 98.31576717334887, 98.97634266575466
2017-6-18, 98.47145927871985, 98.87066868934961
2017-6-19, 98.48617814831066, 99.04610886747108
2017-6-20, 98.682298226916, 99.14074544300354
2017-6-21, 98.10908295988632, 98.8200226634478
2017-6-22, 98.14632343884715, 98.89820619284106
2017-6-23, 97.9539641943734, 98.79514937025085
2017-6-24, 97.74747351759406, 98.59682713347921
2017-6-25, 97.92528702138819, 98.30550368010546
2017-6-26, 98.27891672994178, 99.00280204384374
2017-6-27, 98.23390894819467, 98.88193901485536
2017-6-28, 97.36357757548625, 97.78021432413422
2017-6-29, 97.49049429657795, 98.29530201342281
2017-6-30, 97.94280442804428, 98.5077313916505
2017-7-1, 98.30025445292621, 98.83632243021204
2017-7-2, 98.33578872701479, 98.907831646244
2017-7-3, 98.2906857727738, 98.84606049908434
2017-7-4, 97.96077993183977, 98.75042832667047
2017-7-5, 98.37284391197213, 98.90577967930636
2017-7-6, 98.2509958335241, 98.8622024509699
2017-7-7, 97.47939633950551, 98.22275673147591
2017-7-8, 97.27817681049846, 97.96407185628742
2017-7-9, 98.37679338150592, 98.87742793136555
2017-7-10, 98.37933772360002, 98.81601076353851
2017-7-11, 98.41644032183672, 98.78305360302204
2017-7-12, 98.53177986170313, 98.91147788718094
2017-7-13, 98.4891613750821, 98.95167937358335
2017-7-14, 98.55918075732318, 99.01001020323746
2017-7-15, 98.48814568777918, 98.99558708070498
2017-7-16, 98.59625290088866, 98.99877835024168
2017-7-17, 98.46324941866344, 99.0574043070431
2017-7-18, 98.4329140461216, 98.86094089741056
2017-7-19, 98.03110756073492, 98.59214541890357
2017-7-20, 97.88128740093805, 98.52305646578336
2017-7-21, 97.47301275760549, 98.27581723142538
2017-7-22, 97.67366546121876, 98.1029883323004
2017-7-23, 97.77037873833164, 98.24953972525138
2017-7-24, 97.4354541263255, 98.00620292423571
2017-7-25, 97.59455872594559, 94.13325122569337
2017-7-26, 97.98459428089058, 98.36074808472284
